Outcome,Study ID,Title,Main aim of study,Intervention,Intervention type,Intervention grouping,Arm,AD class,"AD dose numerical (fixed amount, range or mean dose)",AD dose categorised,Dose schedule,Length of study (start to post-intervention),Pain condition,General pain grouping,IASP pain grouping,Minimum pain inclusion?,Design,Imputation method,Scale,Timepoint,Follow up timepoint,mean,sd,se,median,ci lower,ci upper,iqr lower,iqr higher,n,r,r%,Change score,Adverse events definition,Stats notes,Study notes,Date checked,Remove row for mood analysis,Funded by pharma?,Sequence generation,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessors,Incomplete outcome data,Selective outcome reporting,Other sources of bias
pain_int,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-1.58,NA,0.23,NA,NA,NA,NA,NA,195,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
pain_int,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-1.9,NA,0.23,NA,NA,NA,NA,NA,191,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
mood_overall,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Health subscale,Baseline,NA,56.1,19.84,NA,NA,NA,NA,NA,NA,195,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
mood_overall,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Health subscale,Baseline,NA,55.5,18.85,NA,NA,NA,NA,NA,NA,191,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
mood_overall,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Health subscale,Post_int,NA,-2,NA,2.52,NA,NA,NA,NA,NA,195,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
mood_overall,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Health subscale,Post_int,NA,5.91,NA,2.51,NA,NA,NA,NA,NA,191,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
sleep,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,BPI sleep,Baseline,NA,5.22,2.91,NA,NA,NA,NA,NA,NA,195,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
sleep,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,BPI sleep,Baseline,NA,5.3,2.81,NA,NA,NA,NA,NA,NA,191,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
sleep,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,BPI sleep,Post_int,NA,-1.57,NA,0.36,NA,NA,NA,NA,NA,195,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
sleep,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,BPI sleep,Post_int,NA,-1.82,NA,0.35,NA,NA,NA,NA,NA,191,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
qol,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,56.82,16.14,NA,NA,NA,NA,NA,NA,195,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
qol,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,55.95,16.25,NA,NA,NA,NA,NA,NA,191,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
qol,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,-13.05,NA,2.65,NA,NA,NA,NA,NA,195,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
qol,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,-18.41,NA,2.57,NA,NA,NA,NA,NA,191,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
physical,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Functioning subscale,Baseline,NA,62.51,19.82,NA,NA,NA,NA,NA,NA,195,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
physical,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Functioning subscale,Baseline,NA,63.72,18.75,NA,NA,NA,NA,NA,NA,191,NA,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
physical,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Functioning subscale,Post_int,NA,3.04,NA,2.15,NA,NA,NA,NA,NA,195,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
physical,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Functioning subscale,Post_int,NA,7.4,NA,2.13,NA,NA,NA,NA,NA,191,NA,NA,TRUE,NA,Least squares,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
pgic_muchandverymuch_imp,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,26.2,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
pgic_muchandverymuch_imp,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,46,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
adverse,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,123,NA,FALSE,Number of people with any AE,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
adverse,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,148,NA,FALSE,Number of people with any AE,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
serious_adverse,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,1,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
serious_adverse,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,1,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
adverse_dropout,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,15,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
adverse_dropout,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,14,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
withdrawal,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,48,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
withdrawal,Murakami 2015,"A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,14 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,30,NA,FALSE,NA,NA,Compared LOCF and BOCF with no significant differences,NA,NA,Yes,Low,Low,Low,Low,Unclear,Low,Low
pain_int,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,0-10 Numerical Rating Scale,Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
pain_int,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,0-10 Numerical Rating Scale,Baseline,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",6.43,1.54,NA,NA,NA,NA,NA,NA,13,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
pain_int,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,0-10 Numerical Rating Scale,Post_int,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",0.66,1.75,NA,NA,NA,NA,NA,NA,13,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
pain_int,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,0-10 Numerical Rating Scale,Post_int,NA,-1.24,1.57,NA,NA,NA,NA,NA,NA,13,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
adverse,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
adverse,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
serious_adverse,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
serious_adverse,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
adverse_dropout,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
adverse_dropout,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
withdrawal,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
withdrawal,Natelson 2015,"Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Experimental pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,8 weeks,Fibromyalgia,Fibromyalgia,Primary,≥10/18 tender points at ≥2 out of 10 pain,Parallel,Completer analysis,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Low,Low,Low,High,Unclear,Low
pain_int,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,0-100 VAS,Baseline,NA,55,28,NA,NA,NA,NA,NA,NA,12,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
pain_int,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100-200mg,SNRI,100-200mg,High,Flexible,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,0-100 VAS,Baseline,NA,44,24,NA,NA,NA,NA,NA,NA,26,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
pain_int,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,0-100 VAS,Post_int,NA,51,24,NA,NA,NA,NA,NA,NA,12,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
pain_int,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100-200mg,SNRI,100-200mg,High,Flexible,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,0-100 VAS,Post_int,NA,20,22,NA,NA,NA,NA,NA,NA,26,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
mood_depression,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,CES-D,Baseline,NA,6,4,NA,NA,NA,NA,NA,NA,12,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
mood_depression,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100-200mg,SNRI,100-200mg,High,Flexible,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,CES-D,Baseline,NA,7,5,NA,NA,NA,NA,NA,NA,26,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
mood_depression,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,CES-D,Post_int,NA,9,7,NA,NA,NA,NA,NA,NA,12,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
mood_depression,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100-200mg,SNRI,100-200mg,High,Flexible,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,CES-D,Post_int,NA,6,4,NA,NA,NA,NA,NA,NA,26,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
physical,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,Pain Disability Index,Baseline,NA,31,11,NA,NA,NA,NA,NA,NA,12,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
physical,NCT 2011,Milnacipran for Chronic Pain in Knee Osteoarthritis.,Pain,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100-200mg,SNRI,100-200mg,High,Flexible,8 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥4 on 10NRS,Parallel,Completer analysis,Pain Disability Index,Baseline,NA,28,14,NA,NA,NA,NA,NA,NA,26,NA,NA,FALSE,NA,NA,Trial registry only - no published papers,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
